Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
What is the most abundant gas in Earth's atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,Nitrogen
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,Mercury
What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Cytoplasm,Mitochondria
What is the main source of energy for the Earth?,The Moon,The Sun,The Earth's Core,Wind,The Sun
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Shark,Blue Whale
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,Hydrogen
How many bones are there in the adult human body?,206,208,210,207,206
What is the acceleration due to gravity on Earth?,8.8 m/s²,9.8 m/s²,9.6 m/s²,10.8 m/s²,9.8 m/s²
Which natural disaster is caused by the rapid displacement of water?,Earthquake,Tsunami,Tornado,Volcanic Eruption,Tsunami
Which gas do plants absorb from the atmosphere for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide
"Who is the author of ""Harry Potter""?",J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,Stephen King,J.K. Rowling
"Which animal is known as the ""King of the Jungle""?",Lion,Tiger,Elephant,Monkey,Lion
Who was the first man to walk on the Moon?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,John Glenn,Neil Armstrong
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Kalahari Desert,Antarctic Desert,Antarctic Desert